completion,prompt
 👍👍, and?
 which question??, time limit exceeded?
 no idea bro, 1st one
 👍👍, i got the mistake in the code anyway
 i am always here bro😁😁, expected output and my output are same but it is showing failed
 all 5 cases passed??, public cases are passed but it showing failed
 there shows bro, i dont know about private ones
 hold, but in public cases both expected output and my output is ame
 i am asking what is written in public cases, 
 same problem as i said??, saved
 ok then😁😁, haa
 use while, bro for problem 3 how did u write input handler like we dont know number of patterns
 yes, test patterns are like infinte know
 there is only 1 string in a function, when we are writing input handler we dont number of test patterns for each particular string
 so, but we need to input even patterns while we are writing code
 yaa bro, bro r u there
 why have you written eof, is this ok?
 is eof working??, ok i will use -1
 yaa but sir had asked not to vla na🙄🙄, https://stackoverflow.com/questions/3764014/how-do-you-read-scanf-until-eof-in-c
 variable length array, ok
 bro, you deleted this message
 ok, i dont think so
 ok, sry bro i don't know
 yes me too, 😓
 not started or started🙄🙄, haa
 thanks 🙂🙂, 
 yes, we are ep1a right?
 no, should we attend the class?
 because they miss class on wednesday, ok then i will leave
 yaa go ahead, i want to ask u something
 no bro, are u attending python sessions from lamda
 but i think it will record, ok
 what are the timings, so yaa they have kept the recording
 i think we should attend na?, don't know
 yes, he it's pretty much important
 yaa😢😢, it wasn't recorded
 hmm, discord
 yes maybe, i guess fever was because of weather
 how to give, give host to mam
 yaa thanks, it's worked out
 ok, think so
 .., or per unit area
 bro, ok
 thanks bro, 4b 9.67 into 10^-7
 yes, am not sure of my ans
 means we have to differentiate spectral energy density and equate it to 0, you should maximize that
 from that i am getting equation given in hint, take temp conts
 ??, now x = 4.95
 means simply put value, i hints sir gave the solution no
 yes, you got equation in the hint right?
 how we get x=4.95, x=hc/ktlamda
 ohh, sir directly gave the solution for us i guess
 means simply put hc/lambda kt=4.95, even using our jee methods it's no easy problem
 and find lambda  into t, why would sir give one hell of a maths problem
 yes 😅😅, ya
 means, u can derivation for 4th also
 ohh, maximumize it
 bro what subtopics sir told in previous itp classes, r = c/4 p
 in this we find a power b, strcopy
 ok, s
 me too bro, 😭😭
 yeah, according to u this week do we have hackathon
 yaa but ig they increase level of questions, like last week's topic we shouldn't use
 yes, bro did u get the score for assignment 2 of cal
 maybe because of different tas, 😨
 but you should  write a mail to arunabha sir, i really hope so
 then wait 1-2 days, should i also write a mail
 , okkkk...
 ok thanks bro🙂🙂, 
 😂😂, i left it to god
 ig it starts from 4 to 5:30, when is discrete maths exam?
 and we have to submit between this, 1 30 exam?
 i think so, between 4 to 5 30 we can submit any time no?
 which subject, did sir say anything about assignment 2
 no, arunabha sir
 email him i think, my assignment 2 wasnt graded\
 yaa why not, just now
 oo, emailed him
 don't take tension bro, hmm
 how, tension was beacause my discrete maths score was wrongly given
 yes, today we got the mail no
 then write private comment there, in that they didngt gave marks for q5
 👍👍, then got it
 you are facing lot of problems bro😅😅, but both happend at same so
 it's from 4 to 5:30??, when u will write short quiz
 oo, i think
 maybe sir give time, can we write any time. in between
 bro mine not submitted yet🙄🙄, are marks visible for u
 🤣🤣safe app becomes mad🤣🤣, it's not showing anything
 it was submitted, i am dilemma my quiz was submitted ir not
 , just now saw it
 what are these figures, more probably somerfield elliptical i guess
 maybe😅😅, n = principle quantum number
 hmm, m magnetic
 no, bro did class start
 not started yet na??, ok
 of itp??, how to contact tas in discord
 chat in thread, s
 ohh for that, do they say the evaluation method
 yaa i also have problem regarding it, for partial marks?
 i also don't know how to, in discord prsnally
 , we can thread after he replied only right?
 👍👍, he didn't reply
 he will reply, .
 see on top ryt corner, in dis cord
 thread option comes only in groups, 
 yes, means all the students for that respective ta should also contact him?
 how to know that who checked mine??, ha
 but to whom i contact??, student ta mapping
 ohk 😅😅, click
 bro does mayukh sir has told about compton wavelength??, 
 do you get any response from ta, no itp
 ok, 
 did you completed your assignment, i haven't started preparing quantum phy
 no, u?
 😁😁, 7th
 🙄🙄, 7th
 means, from 1.8 to 17
 yaa bro you did it😁😁, s😭
 ohk bro, if your algorithm looks fine and works for some test cases u should probably ask
 yes bro, you deleted this message
 fortunately it's showing in taskbar, how did u know the msg delete d
 but when i opened its shows deleted, hmm
 because energy difference between the orbits of electron are discrete, i completely forgot about this
 ex if electron in 1st orbit .so it can go to 2, bro till which slide the qm assignment is
 what are you asking, wait what?
 no bro🙄🙄, 😭
 my mind is saying don't take tension 2 days left😅😅, i just started like 45 min back
 as i think it should be of wave packet, 
 wait, once see this
 grp velocity is velocity of whole packet, if whole packet has same phase velocity it should be equal to grp vel
 maybe😅😅, then no i think
 ok bro, 
 omega, why abt w?
 yes that's the problem, haven't given value no
 this what will be use of given equation, you deleted this message
 because of we get speed we get momentum, hm
 yaa sure, will this work
 i think which is not in orbits of atom, should we consider rest mass
 yes, 
 we should use only rest mass until velocity of electron is not comparable to speed of light, why should not use
 yes, is this crt
 bro in question 1 of assignment 4 of cal2, 👍😇
 kk thanks, that it tends to e
 kk, there is no need
 yes, did you get the second one
 limit not exist, for 2ndone
 no, for bothe cases tend s to 0 no
 ohh😅😅, you deleted this message
 just write x+y+1 tends to 1, ya
 and x²+y³ yaa but there should not be condition that epsilon>1, not sure abt this part
 here epsilon is always >1 na, i didn't understand bro
 but it should not be, s
 , then how?
 bro we can do that, 👍
 did 1 question🥲🥲, did you start phu assignment
 don't worry bro we have whole tomorrow😅😅, reading part not done
 yes🥲🥲, but should read eng also
 😢😢, s
 no bro, it's big
 my big fear is physics assignment, hm
 there is very horrible questions, hoping so...
 hmm🥲🥲, it's whole another level
 ok, i didn't try yet
 , iam not sure abt this
 ok🥲🥲, i haven't gone that far
 sir  written here na that we need to solve time independent schrodinger equation, i didn't get ur doubt
 psi, what should we find in the q
 no bro, you deleted this message
 yes, phy?
 why you choose hard one😅😅, 😭
 i also haven't done, bro
 how, photo
 ohh🙄, not q
 no, that rutherford one?
 but my doubt is that it said to use relativity theory, ok..
 the special relativity, why do you mean by relativity
 all are inter related bro🥲🥲, wait why is that coming
 the order of radius of nucleus is same as order of wavelength, how should we use radius of nucleus
 no, did u get it bro
 why 2nd equation, right?
 energy one, which eqn
 yes, total energy no
 that's my doubt, e how should we manipulate
 we not need to get ke from e, from e how do we get ke
 ke =hv/2lamda na, is this ok...
 i am ryt na??, ok..
 yaa i also think so, in the hint why they gave that relation
 donal, ?
 wow, he said he will give time tommorrow
 ohh good good, 😅
 yes bro, bro r u there?
 thanks bro🙂🙂, write in your own way
 1 and 3 exist, all exists are u getting
 yes, is this crt
 we have any class today??, thank you bro
 office hours na??, disc maths
 hmm, mam said
 yes, ?
 now let's go to physics one🙄🙄, ha
 3, phy
 sure, and programming
 but try to start earlier because it's take time👍👍, in the 1st q 2nd part we should use relativistic terms
 yes, i wrote 4 1/2 q
 , will try for sure 
 i also not done lab questions🥲🥲, lab questions are there for me and theory also not perfect
 yes, did u write feed back
 we have to use relativity theory, getting vel more than c
 we have to use relative equation of momentum, this is it or should in the lamda equation mo should be m
 kk, no
 .85c, bro what is vel u got in 8th question
 yes, phase one right?
 14.98*10-13 joule, bro for 1b why ans u got?
 .., ke?
 , instead of 13
 i amnot sure about this formula🥲🥲, you deleted this message
 no, did  u submit bro
 😅, 4th i think i can get partial but 3rd no idea
 we can only tell order na, yaa
 , no
 wlcm😁😁, iam really grateful
 .043, u?
 yes, you deleted this message
 kis question me, normalization use karke a value kar sakthe hai kya?
 bro i think this equation is something wrong, i dont think so.......
 how, from boundary conditions we get b=0
 , is psi0 = 0?
 but how🥲🥲, if b = 0 problem solved
 i am not getting, read this
 are you saying that it asked for 1 variable??, one artibatary constant
 yaa but we have 2 na🥲🥲, for amplitude
 ohh, as mentioned in q
 yes, to find order
 by taking wavelength equal to diameter, how?
 yes only mass change, same as in a?
 yes maybe, so they gave for lectron so proton we can get
 8 *10-12, 4b what answer u got bro
 ok, but i don't know
 gd night, 😴
 ohk, when are holidays bro for us
 no, 😅
 sure, bro if u get some good examples of grand application please share
 how we write...., hm
 ohk, less than 350 pages means atmost 2 pages total
 kk, mainly see headings
 but what to write in our address🤔🤔, s
 ohk, like that
 no, did u get your env che last test marks
 u have some urgent work so i can't, will u attend 1 to 130 session
 did you get your marks??, k
 are you in meeting??, no
 yaa, not started na
 1 hour ??, 6
 all previous one cancel??, s
 all 4, s
 ok tqq, s
 , 👍
 ohk bro🥲🥲, and last class too
 thanks bro, once read this
 bro means of best of 2 exams will be grade in env che??, geeksforgeeks
 that's great😁😁, s
 tomorrow we have short quiz ig??, 
 ohk🥲🥲, s
 ig it's all mixed, this time
 mean, bro no functions?
 ohh, sir taught many functions no
 no, for suppose int atoi
 ig we should not, we shouldn't use ?
 sponge pop, 
 i used to see it very years before😁😁, i just know the name
 , ohh
 bro, hmm
 yes, submitted bro?
 opened now??, you deleted this message
 then what, this is wrong
 this also not work bro, ig no
 there are very very large numbers🥲🥲, the given numbers are even bigger than this
 but we can't print such large numbers, then we can add and again multiply
 yaa but this gives number in decimal na, don't consider that 5
 when you multiply then it not print, with some 1⁰000000
 try it , hm
 how many digits accomodated ??, long double can be used
 yes, sir hasn't taught long no
 yaa this can work, if > 10 last second and repeat and add 1
 mean, how about this
 yes ig, will this work
 yes😁😁, let's try
 we can define array 🤔🤔, but still we can't store or take in the number
 🥴🥴, won't know
 as written in ques we should use, 2nd one
 no😭😭, any progress?
 yes, today we have disc exam no
 that's is also a tension, first question i didn't understand
 we have to find m^k, will u explain once
 but not by simply multiplying m k yimes, is it related to tuesday class?
 we have to break k in 2 power terms, i didn't understand
 so find such power of 2 which is just less than k, 32
 yes👍👍, and 1
 , we have to compute m32 
 i also don't know, if we do like this will the runtime be surely lessthan or equal to logk
 yes bro, bro r u there
 out of 5??, if my program runs forthe test cases is it enough
 we have to decrease time, 😭
 n10 mean, for 3rd one my program runs till n10
 then it should work later also🤔🤔, n= 10
 yaa but you get marks, no
 yaa ig you get more than half, manually iam not expecting full even half ok for me
 don't know, time
 yaa that's why i also thinking, but said in monday class
 , 
 no no bro, now?
 bro 3rd question is similar to factorial question in lab 7??, ok ok saw mail now
 ohk, crt method i don't know
 😁😁, i built the code based on test case 1 and 2 luckily it worked for private case 1
 but your 3 cases passed na, i got 20 only
 maybe some terms become up and down, 
 bro got any idea for question 2??, maybe
 yes bro, bro r u there
 no, got 2nd one?
 yaa, and for the first one yesterday u mentioned something no is it crt
 bro, okk
 trying, r u there
 but not able to solve, 
 yes, is this crt
 but bro you dont think it become very long, i have a doubt bro
 code became very long, i didn't understand
 - take a block, i have no choice
 mean, 
 it give ascii value, because in the string number is taken as a char no
 so, 😨
 apply operations using ascii table such that it give sum of digits, i didn't get it
 so we get 8, ok
 don't know, if using heap iam getting core dumped  and i don't what's wrong with code
 bro we have env che exams🙄🙄, no change
 i can't understand your doubt, haa no change still core dumped
 yes, in the first question u said one method right
 ohh, to another function
 did you freed the malloc before returning??, 
 so what's the problem, no
 yes, u have completed p1?
 ohk, can i send my code will u take a look at it
 👍👍, i will check it once
 yaa😁😁, anyway best of 2 no
 🙂🙂, tommorrow
 yes, bro for us exam on 6 pm
 no bro, got 2nd one?
 use unsigned long, second one how did take in the input bro
 and also define m as unsigned long, in autojudge also not working
 how many cases passed, haa
 bro, for some it's working
 see properly that some values you have not changed to unsigned long, hm
 don't know bro, for this also bro
 you should ask to those who's answer are showing, no idea
 yaa yaa, this screenshot was not mine
 , mine was disaster
 not so good, thank you bro
 if we take more time, yaa
 because form not auto submit at 6:20, 
 yaa that's why i also submit on time, but we should submit
 , last 2 q i didn't do
 ok, a
 ohk, a
 what is nss, nss is compulasary i think
 i don't know bro, u should do it in 4 years
 yaa i have it, check in your mail
 so, see this
 should we fill it, bro if u have timetable from monday onwards pls share it bro
 are you filling??, register in aims and fill the form
 just go to courses, but dont how to register in aims
 go to 3rd line, pls do say
 i am also not getting bro, if i chick on course registratyion it is showing that red remark
 semester 1 registration are over na, 3rd sem?
 but, so dont worry bro
 yaa, haa but we cant register now naa in aims
 ohk, like we cant add it now
 sure, if u join in any of the club please say i wolud like to try any club in my 4 years
 i am not getting time😭😭, i dont want join in any academic clubs like programming or coding
 to see the emails, its boring in home
 bro can you please explain briefly what is expected case in tuesday lecture, but at the start its too boring almost 3 4 days of a week
 ok bro no problem, iam sry😓
 yaa, exams like completed naa this week😅
 😂😂, i wanted to study but couldn't bring myself to study
 no bro, u can say lazy
 😅😅, 
 √c²-v² is velocity, 
 don't know😅😅, how?
 bro can you see your answers of last quiz on safe app??, ok
 no no, ?
 yaa, mid sem 2
 ohh, 
 not for mine also, for u?
 but how speed become √c²-v²🤔🤔, the system is moving in x direction
 yes, bro r u there
 time wrt to s dash frame, ?
 everything is relative bro, why wrt
 by solving equation above it, 
 , sry bro didn't realise
 statical mechanics, which slide?
 taught bro😅😅, i thought it was for the next segment
 how much you get in cal 2, it is too painful
 23😢😢, u?
 means, i don't think it's there for exam
 i can't understand it's meaning, i don't think it's there for exam
 no bro it was taught, actually it was posted by some other professor other shantanu and mayukh sir 
 you really not recall it??, ?
 ohh that's why, i didn't attend the classes some
 yaa it is, 
 it's not coming in wednesday exam, 
 😅😅, u saved me
 i just asking because it was taught😅😅, i thought you were saying that this is there in exam
 no, submitted assignment?
 there are easy questions, wow
 bro have you done 6th question of assignment??, 🤩
 how to find velocity, haa
 how to find m, mo/m
 what are the answers of all questions, we get √1-v2/c2
 i am getting 1800 a, what did u get for 1 ans
 other answers??, i will check once again
 😮‍💨😮‍💨, it's 1800
 yes crt, 3
 correct, is this crt?
 crt, 5
 me too bro, like it is 3 points
 how you get 1/2 in velocity, 6th
 , 
 .99c, what did u get for v
 yes yes now i understand, did u get this
 maybe, for the short quiz will they from the present lectures
 yes, bro has the class started
 4 teacher divided into 2 groups, like this is last seg no
 when is quiz bro, oh ok
 sir said na, which quiz
 in today's class, i wasn't there in the class
 ok, bro i think 26
 yes wrt ether, in right direction
 we have assumed ether as rest, not relative wrt to ether
 , crt?
 yaa i understands this case, 
 ohk, i think this is wrong
 🤯🤯, it's confusing
 don't know bro🙄🙄, intro to ai
 then maybe we have to, and 4 assignment s
 all things are going above my head🙄🙄, 
 we can't do anything bro, 😭
 ohk, but i think it identify the object
 oh, i didn't get crt algorithm
 ig no, hackathon marks released?
 😮😮, i was really shocked
 no really, physics exam prepared aa bro
 not seen yet😅😅, assignment
 maybe not because not mentioned in pdf, or it is doubt session in intro to ai
 someone said objective in ai group, obj or subh?
 , you deleted this message
 ohk, no bro i have seen just now because u mentioned
 then you can see it later, i won't come to lab session abyway
 but here is reason na that 1 is incident and one is reflected, 
 maybe, .
 that i don't know but if velocity is near c then definitely we have to, how to say amplitudes
 what are you asking, mean?
 amplitude decrease when wave goes to potential>0, in every region for either potential = 0 or e > potential how to say amplitudes of psi(x)
 from which topic??, once explain this bro
 this is the case when particle is bounded, photoelectric effect
 area where energy is falling, in the solution
 maybe diameter of electron, how did we get the value of da
 yes diameter of electron is approx 10 -10, assumption only no
 , thank you bro understood 😊😊😊
 kk, don't know bro
 ohh kk, maybe something like that
 it seems correct🙂🙂, i don't that's crt or not
 we have only 2 classes na today, haa
 ok, haa bro
 now opened??, bro we can apply for nss in aims
 yaa same here, but i don't find any course
 then what to do bro🙄🙄, ha
 yes, in sq this week syllabus will also come?
 yes, v means the elements which are to be related na
 what is case 1🤔🤔, wait actually did sir said the same thing
 bro i afraid in every exam🥲🥲, to be frank iam kind of afraid of today's sq
 but don't take so much tension there is very less chance that sir give from relation, this is different case we did sets and proofs practice but relations is different
 what are you asking i didn't get it??, hmm
 and one more thing i get response from nss that we can apply only in  1-2 segment of odd semester, don't consider my doubt actually sir did exactly what i mentioned here
 yes, hm i think 3rd sem next na
 bro do you have tutorial 1 solution of discrete math because i am not getting it on classroom🤔🤔??, you deleted this message
 1 also??, 1
 kk, haa
 yes, 
 , how?
 depend on how we define relation, comparable means less than or equal to na
 , like sir is always saying less than or equal to
 this is sign of posets, s
 no no, but sir is always saying less than or equal to
 sir said that this is sign of posets, means?
 yaa maybe he said because it's short, does this make sense
 but there exist is present in slides, and read
 but bro there is not for all x, x is a student we know that as its student domain
 class started??, 
 yes they are same, both same or not
 kk, there exists here has no significance statement saying if x students then he go but 
 ohh yaa, no
 yes, bro exam after class only naa
 how to solve this, like 100 times
 yes, ?
 function, address or value
 ok i will see, if adress then function should be pointer type
 in which class ??, like if any matches ur thinking
 yaa okk, dynamic memory lecture
 did you get question 2 of hackathon 3??, no not yet
 no problem bro, infact i saw assignment now
 ohh what happen?, iam sorry
 😢😢, some sleepless nights
 if you want i will send you answers of assignment, eye is irritating 
 sure, thanks bro ☺️
 no bro, in the first q is there any printing mistake i.e there is no x3
 no bro, you deleted this message
 so using 2a identify we find something, ss
 literally i have not done yet , for which that clause is true
 i also, i don't know matlab
 make one more bro, 
 , even though it's big bro
 so we have to use matlab ??, hmm i asked my friend he said install matlab
 then it's very nice bro, y sir will object
 ohh, iith providing us free matlab
 which 3rd, bro should we right algebraic simppification in 3rd
 i don't think it's necessary, assignment
 write all values of p1 p2 p3 ..., 
 , p11 p12 corresponding values?
 and when you get all values of p1 p2 p3 ... please send me, ok
 yee, need to work out
 yaa hackathon, next week is hectic
 yaa, 😭
 not at all, for 4th one any idea
 sure, if u get 4th one
 because we have taken cases in proving 2a na, y do u think so
 in which we have assumed x as t or f according to which we get phi 1 and phi 2, hmm
 how many solution you got, what's the use
 there are only 8 cases na, u?
 where is tttt, 
 ohh yes, second clause fail na
 ohh, i asked a senior he said he doesn't last year one but ask any other
 wtf it is🤣🤣 totally same, 
 god tussi great ho🫂🫂, 
 all things out of mind, i got 3
 , ig
 bro what is truth assignment, bro
 yaa i also thinking the same, maybe they are asking us x1 to x4 values for which this is false
 but here is not general case bro, generally
 i think you not need to write 3 last pages, is it okay to write like this
 yaa then it's fine, i tried it to go in accordance with the class
 yes, did u get 2a only if part
 , will u share it
 , ok
 👍👍, u saved me
 it happens bro 😅😅, 2a b)
 which code??, bro did u submit the code
 so what to do🤯🤯, i just saw now
 🤣🤣, i don't know
 how probability 1.5😅😅, 1.5-0.56 is this right?
 asking about 1.5 here, pa intersection pb = pa x pb
 why you summed it, what do u think
 we have to subtract intersection also na, .
 ohh that's crt, that's why 1.5 - 0.56
 but bro code given by sir is not correct, we weren't taught matlab
 but it couldn't, syntax error
 just do same as above, what should i do now
 marks, ?
 not full but he will give some marks based on this, ya
 so just go for it, ha
 😅😅yaa, best of luck for both of us
 good night, good night bro
 ok, i don't think so
 i think till thursday, till where
 maybe, this week also counted?
 don't accept defeat until you really defeated😅😅, actually iam fighting a losing war with pigeon hole principle
 do you know any book for practice??, 
 oh yes rosen is good, iam not fond of llm book
 i am not fond of any book🥲🥲, but last time exam i think it's better of we use llm
 i just hate reading theories, what are u planning for intro to ai
 what to plan 🤣🤣, assignment
 yaa short and precise, i think rosen is like hcv
 what you are talking about, atleast 3/4 then only we will be on safe side
 it's submitted na, assignment
 we have to take lectures, this sat
 yes, because we'd thur fri we will be busy
 from where, i will have to learn
 kk, is this not good enough
 i searched for probability problems for matlab on yt, it has 1m views😅
 no , is that contrapositive of pigeonhole principle
 here we have 5 desktop with 1 server, then y
 by pigeon hole, if 59 connection are there
 pigeon hole state both, this is wrt pigeon hole na
 because number of connections are constant, i think apply for 60 connections once with 10 servers 
 so we have to prove that 59 is false, i think sir verified this
 yes, possible
 bro have you dnone ques2 of hackathon 3, ok
 yaa what after that😅😅, like that na
 using getline we get string ryt, in discord solutions have i think
 then we have to make function to add each character of string, yaa
 like if sum  is greater than 10 then we have to subtract 10 and add 1 in next character??, are u asking algorithm
 are you understanding this??, it doesn't work anyway😅
 k i got it, sum if 15 then give 5 take 1 and add 1 to before digit
 but bro we can do this using scanf too na😅😅, 👍
 yes, will it take?
 i got sum of 2 positive nos ryt, bro i have a question
 ig all mix, sir is now taking on different functions and headers na
 even i haven't seen previous lecture🤣🤣, these new functions i haven't practiced
 bro i have i very major problem when i have time i use to see irrelevant things and when no time i just complain😢😢, i will see that in like after half an hour
 🫂🫂, 😅
 no we can't join it na, are u doing nss
 who said, no i don't think it's necessary
 ig it is necessary, i don't know cause we filled form
 bro have you done english questions??, ok then
 no no, will they give marks today based on that
 yaa, bro r u there
 go ahead, i have some basic question in c
 it is command for ubuntu, what does it say
 yes, vim means code editor ig
 seeing what the folder contains, something like this
 really i can't understand vs code😅😅, any suggestions
 gcc -c is used to compile every part of file, mostly replit or programmiz
 you can't compile the code, what if don't use -c
 yes maybe, once see this
 sir done the same thing, in this why is the starting line
 no, ^c no sense
 atoi is strictly not to be used, what are your thoughts
 yes, it is lib.h only na
 we can't used atoi, then change it into int by atoi
 we have to equate n func1 func1 as 0 na, 
 , should i do will it be useful to next hack
 yes but nothing is useless bro, in lab some q are based on this
 ohh then maybe, while explaining sir said if we use =0 it automatically creates malloc 
 yes bro😅😅, it's difficult listening to ramakrishna sir compared to kartheek sir
 bro u understands the matlab code??, ha
 😢😢, no not at all
 🤣🤣, but when they said hack postpone i simply slept from 2 to 6 30
 yaa i also tried but not get anything, but it was difficult so i left it
 , same
 , keep the before slide also
 bro i can't understand the last 3 lines, 
 if subsequence of s ends before t then??, did u get it
 , no it doesn't because ik should be the longest na
 subsequence of length (is), between as and at?
 means it can't ends before at, did u get it
 no, did u understand y
 i got it bro🥳🥳, 
 thanks😀😀, 👍
 5, how many q are there in assignment 2
 yaa something like bitstring😅😅, there is no biystring in this q
 ok, no
 100, hack 2 how much bro
 in mine it's written penalty, 😯
 it is 100 ig, i think no penalty
 , me too
 no bro🙄🙄, it's genius
 in today's class sir told that we not need to learn python or matlab, i just assignment he gave python codes to write na
 yaa basics is sufficient, but still we need y
 😅😅yes, i don't even know basics😓
 neuron, bro what exactly is perceptron
 bro as rakesh sir told about the function to calculate 2^x by recurrence, 👍
 ohk, you deleted this message
 no no, they should prove qi divides qj na
 2^ki is greater than equal to 1  na, we are considering the numbers ai no 
 now i get it bro😅😅, ok
 yes, understood the ans?
 yes when we take ki=1, 2^ki(2n-1) < 2n. ?
 mine too bro, u asked the q but my doubts are clarified😅
 no😬😬, did u start ai assignment
 don't know😅😅, when will u start
 you will submit soft copy or write on paper, hm
 we don't need to submit code, code?
 we not need to submit code, i didn't understand
 yes, okok we don't need to submit for q2
 yes, but for 4th we need to
 but names are different no, 
 where are train and .., last one nn training
 ohk, above one support
 🥲🥲, 😓
 😵‍💫😵‍💫, yaa it's confusing
 in which topic??, bro what is training error
 page no, intro to ai 3-1 module multilayer neuron network
 training error means error on the basis of given points, testing error?
 bro have you seen the last lecture of prem sir??, 👍
 no problem bro🥲🥲, iam sry😓
 telling if we have to find ordering in (a1, 
 less than is for only comparision of integers, directly we can use less than symbol na
 i am confused bro😵‍💫😵‍💫, 
 no (a, a
 so for defining poset {(a, ss
 don't worry, iam really sick of this topic
 bro can i tell after class??, you deleted this message
 we have  to make a string using struck, ok bro
 what help, 
 mine too bro😅😅, multiply of complex numvers
 i will see it again and when i get it i will tell you, 😓
 bro have you learnt python, ok
 in which sir proved the both lhs and rhs using a case, bro q2 of part 2 disc maths what is combinatorial proof
 ig, ok
 i also can't solve it, how to solve
 ig tomorrow, when will sir upload solution s?
 bro in last itai class sir is running python code na, hm
 in last class, i didn't understand what you are saying
 so what are the input and output here, ha
 ohh ya , 🧐
 , for 2nd onne we should write input and output that's it?
 we have to write anything with image or only image, don't know bro
 ohh🤪🤪, iam eating dinner
 cmd, for second one
 command prompt, cmd?
 does it work??, 
 something, modules?
 when you install python, where are they
 👍👍, finally did
 1st, 4th ?
 yaa we have to find on net na, net?
 there also written to include kernel based svm, haa
 ohh, in slides
 yaa ok, maybe 🤔 there we should search there
 i started😅😅, can we write this
 what is m3an by reference??, reference what u wrote
 hmm, maybe website?
 copying bro🙄🙄, or just copying
 for writing myself i have to understand, isn't it plagaraise
 sir said himself to search on net, ?
 don't know, what to do for 3rd q
